"Ulasan","Label"
"Ada Rakor di Srby nginap di sini pelayanannya ramah, kamar bagus krn ada sofabed bisa nyantai jika ada tamu. Srpanya dgn menu yg byk pilihan .untuk fasilitas juga lumayan lengkap. ada atm dan mini market yang membantu.","positif"
"makanannya enakkkk, ACnya masi baiiiikkkk, Pelayanan yang diberikan baiiikkkk, fasilitas kamarnya kurang sedikit lengkap tidak diberi pasta gigi. Wifinya lancar jayaaa. Interiornya lucuuu. Tempatnya minimaliss tapi keren","positif"
"Pelayanannya bagus, serta terdapat deal yg menarik, fasilitas kamar mandi sederhana namun mendapat akses kolam renang ke Harris Hotel, City View yang bagus terutama saat matahari terbit, Lokasi juga strategis diapit oleh banyak kafe serta terletak ditengah kota Surabaya","positif"
"Keren nihhh bermalam di POP Hotel... Pelayanannya ramah, cepat, dan tepat. Fasilitasnya juga ok yang yang penting ada Alfa express jadi ngga perlu kemana-mana. Hanya saja ngga ada sandalnya nih  Tapi overall puasss","positif"
"Lucu kak, baru pertama kali lihat kamar mandi yang dapat portable hehe, cuma terkadang secara tidak sengaja airnya bisa merembes keluar hehe  pemandangannya masyaAllah apalagi klo malam. Selebihnya cukup. Pelanana cukuo baik, kamar bersih.","positif"
"Nginep d hotel yg bergaya simple dan minimalis merupakan salah satu ide yang pas, yang hal ini bisa kita temukan di pop hotel, Pop hotel gu eng merupakan hotel yang terletak di tengah kota, dimana kemana-kemana dekat bisa di jangkau","positif"
"Disela pekerjaan yg bikin pusing, pop hotel bener2 memberikan kenyamanan yg bagus, desain kamar yg unik dan colorful membuat pikiran menjadi tenang dan ceria kembali. Lokasi juga mudah di jangkau .....","positif"
"Fasilitas yang disediakan sangat nyaman, pelayanannya juga ramah, respon para staf hotel juga sangat cepat untuk  membantu kami dalam pelayanannya, dan juga waktu 14 hari terasa tidak cukup untuk menikmati seluruh fasilitas yang disediakan,  benar-benar nyaman banget..","positif"
"Pelayanan ok, fasilitas keren, 2 minggu aja ngak cukup. Kamar nyaman dan bersih. Semua nya oke dan bagus. Lokasi dekat dengan pusat kota. Secara keseluruhan pop gubeng ini sangat di rekomendasikan untuk berlibur.","positif"
"Waktu pertma kali masuk di kamar pop gubeng rasanya pengen tidur terus dengan suasana nyaman dan sejuk oleh kedatangan Ase,di ruangan kamar selalu bersih dan nyaman,di dalam ada orang jualan makanan,berisi di dalam ada sebuah alfamaret,atm dan penitipn barang...  pokoknya pop gubeng is the best masalah kenyamanan di semua ruangan,ayo segera menginap di pop gubeng","positif"
"Enak Dan menyenangkan  Cantik cantik karyawanne Bersih.   Ada atm ada alfamaret Dan bersih .  Kamarnya selalu bersih kasurnya empuk pokoknya dihotel gubeng menyenangkan rugi kalou gak ke hotel gubeng.   The best.","positif"
"Hotelnya nyaman,pelayanan terpadu, pelayan cowoknya ganteng ganteng, pelayan ceweknya cantik cantik, apalagi mbak Dewi cantik dari hati, hotel ada alfaexpress,WiFi lancar,petugas kebersihan bekerja dengan baik,hotel pop Gubeng number one","positif"
"Untuk toilet pria sudah bersih, cuma kurang pengharum ruangan saja semua fasilitas oke lah *5 dah, untuk cek in cepat dan mudah mbaknya ramah dan semua baik next trip pasti ke pop Gubeng lagi deh sipppp","positif"
"Terimakasih untuk pelayanan yang di berikan kami merasa sangat nyaman. Kami selaku pengunjung siap menjaga kenyamanan dan ketertiban. Sukses selalu untuk hotel pop jangan lupa untuk selalu membantu sama lain","positif"
